Feature                                      | Status                  | Activation Slot | Description
FuS3FPfJDKSNot99ECLXtp3rueq36hMNStJkPJwWodLh | active since epoch 0    | 0               | SIMD-0137: Abort when elliptic curve syscalls invoked on invalid curve id
G6vbf1UBok8MWb8m25ex86aoQHeKTzDKzuZADHkShqm6 | active since epoch 0    | 0               | add compute budget instruction for setting account data size per transaction #30366
G74BkWBzmsByZ1kxHy44H3wjwp5hp7JbrGRuDpco22tY | active since epoch 0    | 0               | fix root in vote state updates #27361
GDH5TVdbTPUpRnXaRyQqiKUa7uZAbZ28Q2N9bhbKoMLm | active since epoch 0    | 0               | loosen cpi size restrictions #26641
GE7fRxmW46K6EmCD9AMZSbnaJ2e3LfqCZzdHi9hmYAgi | active since epoch 0    | 0               | filter stake_delegation_accounts #14062
GQALDaC48fEhZGWRj9iL5Q889emJKcj3aCvHF7VCbbF4 | active since epoch 0    | 0               | limit max instruction trace length #27939
GTUMCZ8LTNxVfxdrw7ZsDFTxXb7TutYkzJnFwinpE6dg | active since epoch 0    | 0               | disable the deprecated BPF loader
GV49KKQdBNaiv2pgqhS2Dy3GWYJGXMTVYbYkdk91orRy | active since epoch 0    | 0               | drops legacy shreds #34328
GaBtBJvmS4Arjj5W1NmFcyvPjsHN38UGYDq2MDwbs9Qu | active since epoch 0    | 0               | deprecate unused rewards sysvar
Gea3ZkK2N4pHuVZVxWcnAtS6UEDdyumdYt4pFcKjA3ar | active since epoch 0    | 0               | separate durable nonce and blockhash domains #25744
GmC19j9qLn2RFk5NduX6QXaDhVpGncVVBzyM8e9WMz2F | active since epoch 0    | 0               | check size when translating slices
GmuBvtFb2aHfSfMXpuFeWZGHyDeCLPS79s48fmCWCfM5 | active since epoch 0    | 0               | delay visibility of program upgrades #30085
GsUBNYNDPdMLHPD37TToHzrzcNcjpC9w5n1EcJk5iTaM | active since epoch 0    | 0               | SIMD-0437-4: Set lamports per byte to 1322
GvDsGDkH5gyzwpDhxNixx8vtx1kwYHH13RiNAPw27zXb | active since epoch 0    | 0               | warp timestamp again, adjust bounding to 25% fast 80% slow #15204
GwtDQBghCTBgmX2cpEGNPxTEBUTQRaDMGTr5qychdGMj | active since epoch 0    | 0               | reduce stake warmup cooldown from 25% to 9%
Gx4XFcrVMt4HUvPzTpTSVkdDVgcDSjKhDN1RqRS6KDuZ | active since epoch 0    | 0               | SIMD-0185: Vote State v4
H3kBSaKdeiUsyHmeHqjJYNc27jesXZ6zWj3zWkowQbkV | active since epoch 0    | 0               | fix owner for instructions sysvar
H6iVbVaDZgDphcPbcZwc5LoznMPWQfnJ1AM7L1xzqvt5 | active since epoch 0    | 0               | SIMD-0339: Increase CPI Account Infos Limit
HFpdDDNQjvcXnXKec697HDDsyk6tFoWS2o8fkxuhQZpL | active since epoch 0    | 0               | remove delegations from stakes cache when inactive
HH3MUYReL2BvqqA3oEcAa7txju5GY6G4nxJ51zvsEjEZ | active since epoch 0    | 0               | preserve rent epoch for rent exempt accounts #26479
HTTgmruMYRZEntyL3EdCDdnS6e4D5wRq1FA7kQsb66qq | active since epoch 0    | 0               | remove support for the native loader
HTW2pSyErTj4BV6KBM9NZ9VBUJVxt7sacNWcf76wtzb3 | active since epoch 0    | 0               | blake3 syscall
HooKD5NC9QNxk25QuzCssB8ecrEzGt6eXEPBUxWp1LaR | active since epoch 0    | 0               | SIMD-0047: Enable new sysvar last_restart_slot
Hr1nUA9b7NJ6eChS26o7Vi8gYYDDwWD3YeBfzJkTbU86 | active since epoch 0    | 0               | Enable transaction to request heap frame using compute budget instruction #30076
HxrEu1gXuH7iD3Puua1ohd5n4iUKJyFNtNxk9DVJkvgr | active since epoch 0    | 0               | nonce must be authorized
HyrbKftCdJ5CrUfEti6x26Cj7rZLNe32weugk7tLcWb8 | active since epoch 0    | 0               | syscalls use saturated math
J2QdYx8crLbTVK8nur1jeLsmc3krDbfjoxoea2V1Uy5Q | active since epoch 0    | 0               | Default max tx-wide compute units calculated per instruction
J4HFT8usBxpcF63y46t1upYobJgChmKyZPm5uTBRg25Z | active since epoch 0    | 0               | enable program redeployment cooldown #29135
JAN1trEUEtZjgXYzNBYHU9DYd7GnThhXfFP7SzPXkPsG | active since epoch 0    | 0               | disable fees sysvar
JDn5q3GBeqzvUa7z67BbmVHVdE3EbUAjvFep3weR3jxX | active since epoch 0    | 0               | SIMD-0129: simplify alt_bn128 syscall error codes
JE86WkYvTrzW8HgNmrHY7dFYpCmSptUpKupbo2AdQ9cG | active since epoch 0    | 0               | SIMD-0166: Enable deployment and execution of SBPFv1 programs
LTDSzjZKFJMKHYpNycG1FrWwGGTaFFwqEFjB5GGLNVD  | active since epoch 0    | 0               | SIMD-0186 Amendment: Define fee-only semantics
LTHasHQX6661DaDD4S6A2TFi6QBuiwXKv66fB1obfHq  | active since epoch 0    | 0               | SIMD-0215: enables lattice-based accounts hash
LTdLt9Ycbyoipz5fLysCi1NnDnASsZfmJLJXts5ZxZz  | active since epoch 0    | 0               | SIMD-0223: removes accounts delta hash
LTsNAP8h1voEVVToMNBNqoiNQex4aqfUrbFhRH3mSQ2  | active since epoch 0    | 0               | SIMD-0220: snapshots use lattice-based accounts hash
LoaderV4WasAbandoned11111111111111111111111  | active since epoch 0    | 0               | SIMD-0167: Enable Loader-v4
P1BCUMpAC7V2GRBRiJCNUgpMyWZhoqt3LKo712ePqsz  | active since epoch 0    | 0               | SIMD-0286: Raise block limit to 100M
PERzQrt5gBD1XEe2c9XdFWqwgHY3mr7cYWbm5V772V8  | active since epoch 0    | 0               | SIMD-0118: replaces enable_partitioned_epoch_reward to enable partitioned rewards at epoch boundary
PaymEPK2oqwT9TXAVfadjztH2H6KfLEB9Hhd5Q5frvP  | active since epoch 0    | 0               | SIMD-0082: Enable fees for some additional transaction failures
RENtePQcDLrAbxAsP3k8dwVcnNYQ466hi2uKvALjnXx  | active since epoch 0    | 0               | SIMD-0267: Sets rent_epoch to a constant in the VM
RfEcA95xnhuwooVAhUUksEJLZBF7xKCLuqrJoqk4Zph  | active since epoch 0    | 0               | vote only on retransmitter signed fec sets
SAdVFw3RZvzbo6DvySbSdBnHN4gkzSTH9dSxesyKKPj  | active since epoch 0    | 0               | Enable advancing credits observed for activation epoch #19309
STk5Xj8hdAx3sTzmtJ3QysKkq6X2A3yj73JtxttiRyk  | active since epoch 0    | 0               | SIMD-0490: Upgrade BPF Stake Program to v5.0.0
SVn36yVApPLYsa8koK3qUcy14zXDnqkNYWyUh1f4oK1  | active since epoch 0    | 0               | ignore slot when calculating an account hash #28420
St8k9dVXP97xT6faW24YmRSYConLbhsMJA4TJTBLmMT  | active since epoch 0    | 0               | add GetMinimumDelegation instruction to stake program
TestFeature11111111111111111111111111111111  | active since epoch 0    | 0               | SIMD-0161: Disables execution of SBPFv0 programs
TestFeature21111111111111111111111111111111  | active since epoch 0    | 0               | Re-enables execution of SBPFv0 programs
VAT9huvhPjRN9cyrPytq9rwvEJ3J4ADtjdncgZRyANJ  | active since epoch 0    | 0               | SIMD-0357: Alpenglow VAT implementation
Vo5siZ442SaZBKPXNocthiXysNviW4UYPwRFggmbgAp  | active since epoch 0    | 0               | fixes Bank::transaction_count to include all committed transactions, not just successful ones
VoteAccount1nitia1izeV211111111111111111111  | active since epoch 0    | 0               | SIMD-0464: Vote Account Initialize V2
YbbRLkvenrocjGPGyoQE4wjnvYzTgfsk38NFmcYK7a5  | active since epoch 0    | 0               | SIMD-0431: Loader V3 minimum extend program size
b1sgUiJ3qu7hYm3tNDyyqZNQd6gLGJmJppnLNa93PCQ  | active since epoch 0    | 0               | SIMD-0388: BLS12-381 syscalls
bn1hKNURMGQaQoEVxahcEAcqiX3NwRs6hgKKNSLeKxH  | active since epoch 0    | 0               | SIMD-0302: Add alt_bn128 G2 syscalls
bn2oPgpkzQPT3tohMaAsMVGjhDmmDa4jCaVPqCFmtxM  | active since epoch 0    | 0               | SIMD-0284: Add little-endian compatibility for alt_bn128
bn2puAyxUx6JUabAxYdKdJ5QHbNNmKw8dCGuGCyRrFN  | active since epoch 0    | 0               | SIMD-0222: fix alt_bn128 multiplication input length #3686
bnYzodLwmybj7e1HAe98yZrdJTd7we69eMMLgCXqKZm  | active since epoch 0    | 0               | SIMD-0334: Fix alt_bn128_pairing length check
chaie9S2zVfuxJKNRGkyTDokLwWxx6kD2ZLsqQHaDD8  | active since epoch 0    | 0               | generate duplicate proofs for chained merkle root conflicts
decoMktMcnmiq6t3u7g5BfgcQu91nKZr6RvMYf9z1Jb  | active since epoch 0    | 0               | Allow commission decrease at any time in epoch #33843
depVvnQ2UysGrhwdiwU42tCadZL8GcBb1i2GYhMopQv  | active since epoch 0    | 0               | Deprecate legacy vote instructions
disCA4efguFL6Wqa4pGdG7jpjC7C5uiKzKnhEBqchBe  | active since epoch 0    | 0               | SIMD-0337: Markers for Alpenglow Fast Leader Handover, DATA_COMPLETE_SHRED placement rules
dupPajaLy2SSn8ko42aZz4mHANDNrLe8Nw8VQgFecLa  | active since epoch 0    | 0               | generate duplicate proofs for index and erasure conflicts #34360
eca6zf6JJRjQsYYPkBHF3N32MTzur4n2WL4QiiacPCL  | active since epoch 0    | 0               | restrict curve25519 multiscalar multiplication vector lengths #34763
ed9tNscbWLYBooxWA7FE2B5KHWs8A6sxfY8EzezEcoo  | active since epoch 0    | 0               | SIMD-0152: Use strict verification in ed25519 precompile
ffecLRhhakKSGhMuc6Fz2Lnfq4uT9q3iu9ZsNaPLxPc  | active since epoch 0    | 0               | vote only full fec sets
fixfecLZYMfkGzwq6NJA11Yw6KYztzXiK9QcL3K78in  | active since epoch 0    | 0               | SIMD-0317: Enforce 32 data + 32 coding shreds
htsptAwi2yRoZH83SKaUXykeZGtZHgxkS2QwW1pssR8  | active since epoch 0    | 0               | SIMD-0306: Raise account CU limit to 40% max
iBRL5RuWhw4yqaAZu96RUULHckHTZAoe2b77qaV38JZ  | active since epoch 0    | 0               | SIMD-0525: Reduce slot time to 350ms
iBRLL3k18HST852F1Mf3Lv83waTNQmmqvKDxvYGwQFL  | active since epoch 0    | 0               | SIMD-0525: Reduce slot time to 300ms
iBRLMc81UjRa8fn8A6eE8bJTnRbgQoPTynM51akENCV  | active since epoch 0    | 0               | SIMD-0525: Reduce slot time to 250ms
iBRLjhJnkmDZgNoZRDMW11d8ZV7HvsL3vAyRjZB5npW  | active since epoch 0    | 0               | SIMD-0525: Reduce slot time to 200ms
mZdnRh9T2EbDNvqKjkCR3bvo5c816tJaojtE9Xs7iuY  | active since epoch 0    | 0               | SIMD-0437-5: Set lamports per byte to 696
meRgp4ArRPhD3KtCY9c5yAf2med7mBLsjKTPeVUHqBL  | active since epoch 0    | 0               | allow merging active stakes with unmatched credits_observed #18985
mrkPjRg79B2oK2ZLgd7S3AfEJaX9B6gAF3H9aEykRUS  | active since epoch 0    | 0               | generate duplicate proofs for merkle root conflicts #34270
nWBqjr3gpETbiaVj3CBJ3HFC5TMdnJDGt21hnvSTvVZ  | active since epoch 0    | 0               | check physical overlapping regions
noRuG2kzACwgaY7TVmLRnUNPLKNVQE1fb7X55YWBehp  | active since epoch 0    | 0               | validator commission updates are only allowed in the first half of an epoch #29362
poUdAqRXXsNmfqAZ6UqpjbeYgwBygbfQLEvWSqVhSnb  | active since epoch 0    | 0               | SIMD-0359: Enforce padding in Poseidon hash inputs
prpFrMtgNmzaNzkPJg9o753fVvbHKqNrNTm76foJ2wm  | active since epoch 0    | 0               | validate fee collector account #33888
ptokFjwyJtrwCa9Kgo9xoDS59V4QccBGEaRFnRPnSdP  | active since epoch 0    | 0               | SIMD-0266: Efficient Token program
ptr9umikaeAS7ZBBp2fsfRhie16F1V2jCKA2y6gXNAK  | active since epoch 0    | 0               | SIMD-0449: Direct Account Pointers in Program Input
rent6iVy6PDoViPBeJ6k5EJQrkj62h7DPyLbWGHwjrC  | active since epoch 0    | 0               | SIMD-0194: Deprecate rent exemption threshold
rexav5eNTUSNT1K2N7cfRjnthwhcP5BC25v2tA4rW4h  | active since epoch 0    | 0               | SIMD-0444: Relax program data account check in migration
s512oDwgx8hjMnaQjXfqqrZroVj4HvC6TkN3iSSWXCh  | active since epoch 0    | 0               | SIMD-0512: SHA512 Syscall
s51VGwCAgebo2745DSUris72RavoLkXGUmVJosESCXr  | active since epoch 0    | 0               | SIMD-0391: Upgrade BPF Stake Program to v5.1.0 (fixed-point warmup/cooldown)
sTKz343FM8mqtyGvYWvbLpTThw3ixRM4Xk8QvZ985mw  | active since epoch 0    | 0               | Allow zero-lamport undelegated amount for initialized stakes #24670
srremy31J5Y25FrAApwVb9kZcfXbusYMMsvTK9aWv5q  | active since epoch 0    | 0               | SIMD-0075: Enable secp256r1 precompile
tSynMCspg4xFiCj1v3TDb4c7crMR5tSBhLz4sF7rrNA  | active since epoch 0    | 0               | Enable tower sync vote instruction
turbRpTzBzDU6PJmWvRTbcJXXGxUs19CvQamUrRD9bN  | active since epoch 0    | 0               | enable turbine extended fanout experiments #
turbnbNRp22nwZCmgVVXFSshz7H7V23zMzQgA46YpmQ  | active since epoch 0    | 0               | disable turbine fanout experiments #29393
tvcF6b1TRz353zKuhBjinZkKzjmihXmBAHJdjNYw1sQ  | active since epoch 0    | 0               | use timeliness of votes in determining credits to award
txv1aq4pp281K9um3tnPgkfX8UqtFT6wcVW3hNezGLL  | active since epoch 0    | 0               | SIMD-0385: Transaction V1
vcmrbYbiMVKaq1snKP6eCacNDcr6qZvpCNUjmk6gxvZ  | active since epoch 0    | 0               | SIMD-0340: Validate chained block ID
vcmrw431aNM8ngQ46derkZXipoTGQdbHkEygBDh12dA  | active since epoch 0    | 0               | SIMD-340: Encompassing check for validate chained block ID
wLckV1a64ngtcKPRGU4S4grVTestXjmNjxBjaKZrAcn  | active since epoch 0    | 0               | cost model uses number of requested write locks #34819
zk1snxsc6Fh3wsGNbbHAJNHiJoYgF29mMnTSusGx5EJ  | active since epoch 0    | 0               | enable Zk Token proof program and syscalls
zkNLP7EQALfC1TYeB3biDU7akDckj8iPkvh9y2Mt2K3  | active since epoch 0    | 0               | enable Zk Token proof program transfer with fee
zkdoVwnSFnSLtGJG7irJPEYUpmb4i7sGMGcnN6T9rnC  | active since epoch 0    | 0               | Disables zk-elgamal-proof program
zkexuyPRdyTVbZqEAREueqL2xvvoBhRgth9xGSc1tMN  | active since epoch 0    | 0               | Re-enables zk-elgamal-proof program
zkhiy5oLowR7HY4zogXjCjeMXyruLqBwSWH21qcFtnv  | active since epoch 0    | 0               | SIMD-0153: Enable ZkElGamalProof program
zkiTNuzBKxrCLMKehzuQeKZyLtX2yvFcEKMML8nExU8  | active since epoch 0    | 0               | Enable zk token proof program to read proof from accounts instead of instruction data #34750
a1penGLz8Vm2QHYB3JPefBiU4BY3Z6JkW2k3Scw5GWP  | inactive                | NA              | SIMD-0326: Alpenglow: new consensus algorithm


Tool Software Version: 4.2.0
Software Version  Stake      RPC
4.2.0             0.00%  100.00%  <-- me


To activate features the stake must be >= 95%

Tool Feature Set: 565236538
Software Version  Feature Set  Stake      RPC
4.2.0               565236538  0.00%  100.00%  <-- me


Feature activation is not allowed at this time
