ahash	0.8.12	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/ahash-0.8.12.crate	43413	5a15f179cd60c4584b8a8c596927aadc462e27f2ca70c04e0071964a73ba7a75	registry/src/index.crates.io-6f17d22bba15001f/ahash-0.8.12	25	180602:0f838047a893410e9f16a3a14e9b04e446aaae3cde65c875f675cae19e62a279
arrayref	0.3.9	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/arrayref-0.3.9.crate	9186	76a2e8124351fda1ef8aaaa3bbd7ebbcb486bbcd4225aca0aa0d84bb2db8fecb	registry/src/index.crates.io-6f17d22bba15001f/arrayref-0.3.9	14	30014:f3fc7676534cb0ad01e15ab1d78da812b09d3306078c9795dc1941eb03306dae
arrayvec	0.7.8	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/arrayvec-0.7.8.crate	33260	d3fb67a6e08acf24fdeccbac2cb6ac4305825bd1f117462e0e6f2f193345ad56	registry/src/index.crates.io-6f17d22bba15001f/arrayvec-0.7.8	23	132516:207ddca6e7c0da058b7fef0c01943ff1334ce4e74f73f5767316c5948d8ef5bf
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/autocfg-1.5.1.crate	18911	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	registry/src/index.crates.io-6f17d22bba15001f/autocfg-1.5.1	24	62101:7609435b2daf8955faebffe70e9005a47f9dd3f1c793ee34694017bada8ca9ff
base64	0.12.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/base64-0.12.3.crate	57545	3441f0f7b02788e948e47f457ca01f1d7e6d92c693bc132c22b087d3141c03ff	registry/src/index.crates.io-6f17d22bba15001f/base64-0.12.3	31	291616:66c71dee854ce1c9a7785c339f1ae7b516fa13d09dda8c0324ce4283a216a359
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/base64-0.22.1.crate	81597	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	registry/src/index.crates.io-6f17d22bba15001f/base64-0.22.1	39	341989:c9efeaa078eb63432ab3691fca695495f6ff6c91b874e53ad73d8caea02f7c95
bincode	1.3.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/bincode-1.3.3.crate	28958	b1f45e9417d87227c7a56d22e471c6206462cba514c7590c09aff4cf6d1ddcad	registry/src/index.crates.io-6f17d22bba15001f/bincode-1.3.3	24	153803:2deba47db13b9b60b3916d9e5302fd487631b70c8e2bd99dc6e1468d84ffcb53
bitflags	2.13.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/bitflags-2.13.0.crate	51280	b4388bee8683e3d04af747c73422af53102d2bd24d9eadb6cbc100baef4b43f8	registry/src/index.crates.io-6f17d22bba15001f/bitflags-2.13.0	65	243758:926483cdb073647bf5738d57b676a8bd07a66f7f608004b91c2c889d62f3d613
bitflags	2.13.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/bitflags-2.13.1.crate	51395	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	registry/src/index.crates.io-6f17d22bba15001f/bitflags-2.13.1	65	244202:1b3da6d1c1b4f95294292076ba1fd62cdda8f575ae5898b4bfbf3d8ce4416260
blake3	1.5.5	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/blake3-1.5.5.crate	181134	b8ee0c1824c4dea5b5f81736aff91bae041d2c07ee1192bec91054e10e3e601e	registry/src/index.crates.io-6f17d22bba15001f/blake3-1.5.5	69	1531620:bc827d3f6d8703b65c0a3f1ab7ca4d116a9c74e7fa8a5f64ad1507b521ada93f
block-buffer	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/block-buffer-0.10.4.crate	10538	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	registry/src/index.crates.io-6f17d22bba15001f/block-buffer-0.10.4	11	35045:8bef84d9eb95a4f272e4a193e638c98ce0a419c0e90674da8d0665e86ee88316
block-buffer	0.9.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/block-buffer-0.9.0.crate	7108	4152116fd6e9dadb291ae18fc1ec3575ed6d84c29642d97890f4b4a3417297e4	registry/src/index.crates.io-6f17d22bba15001f/block-buffer-0.9.0	7	20811:16ba30220d05676cb8a919cfd255b69d0c7cdcc16f392b17883c8e5dc388c408
borsh	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-0.10.4.crate	31326	115e54d64eb62cdebad391c19efc9dce4981c690c85a33a12199d99bb9546fee	registry/src/index.crates.io-6f17d22bba15001f/borsh-0.10.4	36	149341:a21abafd77306a97bf8d930302049c3c9846eb1c378b1755c9e38a86be5c3403
borsh	1.5.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-1.5.7.crate	78062	ad8646f98db542e39fc66e68a20b2144f6a732636df7c2354e74645faaa433ce	registry/src/index.crates.io-6f17d22bba15001f/borsh-1.5.7	92	417540:70ee46d822a9c55a240728ee260a9864013f70a0b6607b031de7d0fd044ef21e
borsh-derive	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-derive-0.10.4.crate	3081	831213f80d9423998dd696e2c5345aba6be7a0bd8cd19e31c5243e13df1cef89	registry/src/index.crates.io-6f17d22bba15001f/borsh-derive-0.10.4	6	8418:29e5f0a4677a48aedb8679d969a27751b984b788bf61a218d6bab75a3ca44d4d
borsh-derive	1.5.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-derive-1.5.7.crate	27246	fdd1d3c0c2f5833f22386f252fe8ed005c7f59fdcddeef025c01b4c3b9fd9ac3	registry/src/index.crates.io-6f17d22bba15001f/borsh-derive-1.5.7	30	172175:2053da1fb6bb935f20186e63d8b2fad90ac83a185a0319e288816e42f22a89de
borsh-derive	1.8.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-derive-1.8.1.crate	33529	12cdfe656708a01f89b451a7d36466e6fe6c414de0aa18fc54f864f6f9ca9f56	registry/src/index.crates.io-6f17d22bba15001f/borsh-derive-1.8.1	32	192536:9c3a7576187173785dc74a640400e793a667de447dc18ec50850cccb909cd0ac
borsh-derive-internal	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-derive-internal-0.10.4.crate	5330	65d6ba50644c98714aa2a70d13d7df3cd75cd2b523a2b452bf010443800976b3	registry/src/index.crates.io-6f17d22bba15001f/borsh-derive-internal-0.10.4	13	24745:3c51d4f28f49ec1c7878b7f71848ce3dc9d2411682182557e9477606f0835d52
borsh-schema-derive-internal	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/borsh-schema-derive-internal-0.10.4.crate	6369	276691d96f063427be83e6692b86148e488ebba9f48f77788724ca027ba3b6d4	registry/src/index.crates.io-6f17d22bba15001f/borsh-schema-derive-internal-0.10.4	9	41309:40e06b040f6dbac6fb082fd0c5ba9232477d90dd7de7d1b4bb051f235c1e1536
bs58	0.5.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/bs58-0.5.1.crate	28483	bf88ba1141d185c399bee5288d850d63b8369520c1eafc32a0430b5b6c287bf4	registry/src/index.crates.io-6f17d22bba15001f/bs58-0.5.1	25	116921:68551bc8937a3bb0f8eb3205fdba56483e057776465b386a75b00ca7153fe760
bv	0.11.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-6f17d22bba15001f/bv-0.11.1.crate	42061	8834bb1d8ee5dc048ee3124f2c7c1afcc6bc9aed03f11e9dfd8c69470a5db340	registry/src/index.crates.io-6f17d22bba15001f/bv-0.11.1	42	205971:15ed705d3221db8a7d27c7097ebdb37d1e9d6353de2ea882807b0eb83284f985
